RAID|KUID|HUID|Tittel|Navn|HUIDFar|HUIDMor|IDNR|FargeBeskrivelse|FargeVariant|AD|HD|Haarlag|IDMerk|Kjoenn|PEID|EndretAv|EndretDato|RegDato|Stoerrelse
306||&67/5700||RØIODDEN'S NINA|&60/1810|&64/6046|1016542|||||||T|||||
306||&67/5701||RØIODDEN'S BRUNO|||1016543|||||||H|||||
306||&67/5705||RØIODDENS TINTO|&60/1810|&64/6046|1016544|||||||H|||||
306||&63/7745||LORRY|&59/2745|&61/7990|1011423|||||||T|||||
306||&63/7742||PRINS|&59/2745|&61/7990|1011422|||||||H|||||
306||&63/4655||MIKE|||1011082|||||||H|||||
306||&63/5230||TOPSY|&59/932|&61/2702|1011143||||||||||||
306||&67/5706||RØIODDEN'S STEGG|&60/1810|&64/6046|1016545|||||||H|||||
306||&6341/71||BONSO|DK295172|&68/897|1011601||||A|||H|||||
306||&6339/71||BOYA|DK295172|&68/897|1011599||||A|||T|||||
306||&6343/71||BAJAS|DK295172|&68/897|1011607||||A|||H|||||
306||&6312/70||KING|DK246813|&65/4500|1011588||||A|||H|||||
306||&64/2502||RUNDHAUENS TICKI|&57/3924|&58/1415|1011847|||||||T|||||
306||&67/8584||DIXSI|&59/2745|&63/7745|1016999|||||||T|||||
306||&7982/69||SIR BALTAZAR|&61/543|&66/6281|1020064||||A|||H|||||
306||&7181/71||PEIK|DK205172|&67/5700|1019368||||A|||H|||||
306||&7700/71||VINNI|&6756/69|&2315/69|1019837|||||||T|||||
306||&65/4505||MILESTEN'S GRACE|||1013435|||||||T|||||
306||&65/4502||MILESTENS HEIKA|&63/4655|&62/3408|1013434||||A|||T|||||
306||&65/4500||MILESTENS RITA|||1013433|||||||T|||||
306||&8713/70||LØSTI|&64/3913|&67/5700|1020739||||A|||T|||||
306||&940/72||STEP|||1021324|||||||H|||||
306|402162|&8958/69||TRIXI|&66/6662|&65/3768|1020963|HVIT OG BRUN|||A|||T|3108722||||
306||&9530/72||PENNIE|&68/7845|&68/10609|1021424|HVIT/ORANGE|||A|||T|8101791||||
306||&8954/69||BASSE|||1020958|||||||H|||||
306||&8956/69||RANJA|&66/6662|&65/3768|1020959||||A|||T|||||
306||&9439/72||BESSI|&8954/69|&5701/69|1021356|||||||T|||||
306||&W150776030||GINGER OF RICHMONT|||1024771|||||||T|||||
306||&2246/71||LUDVIG|&68/10669|&68/2627|1003667|||||||H|||||
306||&2315/69||FLEUR|||1003733|||||||T|||||
306||&60/4193||LYTT|||1008860|||||||T|||||
306||&236707S||PAJTERSBORG ANIE|||1003772|||||||T|||||
306||&2489/71||TELL|DK295172|DK10146/69|1003901||||A|||H|||||
306||&248777T||BROTONS BELLA|BRET36481|BRET34499|1003897|||||||T|||||
306||&2486/71||KING|DK205172|DK10146/69|1003896||||E|||H|||||
306|400789|&2495/72||FREIKOLLEN'S TROYA|&68/9132|DK9952/68|1003907||||A|||T|||||
306||&284515|CH|BRETONS TOT|||1004227|||||||H|||||
306||&3060/70||CEBU|&62/627|&63/7745|1004416|||||||H|||||
306||&3064/72||KAISA|&68/10669|&68/2627|1004419|||||||T|||||
306||&61/2702||BUGGI|||1009301|||||||T|||||
306||&3157/69||RØIODDEN'S LEIKA|&60/1810|&64/6046|1004507||||A|||T|||||
306||&61/545||ROY|||1009536|||||||H|||||
306||&61/7990||LILL|||1009722|||||||T|||||
306||&6171/72||CHERIE|&2489/71|&1695/71|1009814|||||||T|||||
306||&62/2496||HEIDI|||1009971|||||||T|||||
306||&61/543|CH.|FANT|||1009534|||||||H|||||
306||&58/6265||SONNY BOY|||1007865|||||||H|||||
306|020123|00514/02||TRÅSLETTEN'S L KIRO|05077/96|11193/94|1049181|HVIT/LEVERBRUN|||A||M|H|3540402|ton|11.02.2003|10.01.2002|
306|020123|00517/02||TRÅSLETTEN'S LORD|05077/96|11193/94|1049299|HVIT/ORANGE|||A||M|H|2461713|ton|30.04.2003|10.01.2002|
306|020123|00522/02||TRÅSLETTEN'S LIXI|05077/96|11193/94|1049499|HVIT/ORANGE|||A||M|T|3092823|ton|11.02.2003|10.01.2002|
306|020123|00520/02||TRÅSLETTEN'S LUCCA|05077/96|11193/94|1049418|HVIT/LVERBRUN||||||T|3540405|ss|25.02.2002|10.01.2002|
306|020123|00523/02||TRÅSLETTEN'S LORY|05077/96|11193/94|1049539|HVIT/LEVERBRUN|||A||M|T|3540407|ton|30.04.2003|10.01.2002|
306|020123|00518/02||TRÅSLETTEN'S LEA|05077/96|11193/94|1049338|HVIT/SORT|||A||M|T|3305680|ton|03.07.2003|10.01.2002|
306|020123|00519/02||TRÅSLETTEN'S LUCKY KAILA|05077/96|11193/94|1049378|HVIT/LEVERBRUN|||A||M|T|3241026|ton|11.09.2003|10.01.2002|
306|020123|00521/02||TRÅSLETTEN'S LARA|05077/96|11193/94|1049459|HVIT/SORT|||||M|T|3540406|ss|25.02.2002|10.01.2002|
306||&65/6046||FRØYA|&58/2198|&62/2496|1013656|||||||T|||||
306||&6556/70||STELLA|||1014217||||A|||T|||||
306||&66/3738||TRINE|||1014684|||||||T|||||
306||&66/4157||SORRI|||1014768|||||||T|||||
306||&66/3739||AMIE|||1014685|||||||T|||||
306||&66/5246||HEIKA|&61/545|&63/3498|1014923|||||||T|||||
306||&X050176376||TICKI|||1029377|||||||T|||||
306||&X050176375||PETTER|||1029376|||||||H|||||
306||&X050176371||NERO|||1029373|||||||H|||||
306||&X050176372||FIA|||1029374|||||||T|||||
306||&X050176374||DOLLY|||1029375|||||||T|||||
306||&W150776027|CH.|KAYMORE TEX OF EDANDOT|||1024768|||||||H|||||
306||&W230677020||FIA|||1025780|||||||T|||||
306||&68/9112||LILLA|||1018838|||||||T|||||
306||&X050176369||TINTO|||1029372|||||||H|||||
306|402910|00198/68NJHR||SENJA|&58/2199|&65/6046|1037048|HVIT/BRUN||||||T|8108470||||
306||&9619/71||AVERHILL'S TWIGGIE|DK248782|DK295171|1021488||||A|||T|||||
306|402910|00199/68NJHR||FRANSIS|&58/2199|&65/6046|1037085|HVIT/BRUN||||||T|8108490||||
306|417893|00455/76||MISS ZENTA TARANTELLA|&64/6051|02052/73|1046999|HVIT M/BRUNE TEGN||||||T|3247921||||
306|417893|00458/76||TINA II|&64/6051|02052/73|1047107|HVIT M/BRUNE TEGN||||||T|3300059|#XU|21.03.1999||
306|417893|00460/76||TAI|&64/6051|02052/73|1047181|HVIT M/BRUNE TEGN|||A|||H|8113157||||
306|417893|00462/76||FESTUS|&64/6051|02052/73|1047256|HVIT M/BRUNE TEGN||||||H|3108917||||
306|417893|00459/76||RUSKEN|&64/6051|02052/73|1047144|HVIT M/BRUNE TEGN||||||H|8113141||||
306|417893|00456/76||BAMSE|&64/6051|02052/73|1047034|HVIT M/BRUNE TEGN||||||H|8113093||||
306|417893|00457/76||TINA I|&64/6051|02052/73|1047070|HVIT M/BRUNE TEGN||||||T|8113107||||
306|417893|00461/76||JOVICE|&64/6051|02052/73|1047219|HVIT M/BRUNE TEGN||||||T|8113173||||
306|403465|00468/71NJHR||STELLA|&67/5705|00216/69NJHR|1047468|HVIT/BRUN||||||T|8113280||||
306|403465|00472/71NJHR||STEGG|&67/5705|00216/69NJHR|1047615|HVIT/BRUN||||||H|8113359||||
306||&65/3768||VANJA|&62/6570|&60/1814|1013333|||||||T|||||
306||&68/2627||PEKKI|||1017746|||||||T|||||
306||&68/3439||JUDY|&64/8815|&64/7591|1017885|||||||T|||||
306|401681|&68/4196||ANJA|&62/2492|&60/1813|1017990|||||||T|||||
306||&10195/72||NIKKI|DK205172|DK10146/69|1000209||||E|||T|||||
306||&10026/69||RISVOLA'S BONNIE|||1000084|||||||T|||||
306||&10926/70||STELLA|&68/9132|DK9952/68|1000714||||A|||T|||||
306||&10925/70||HEIA|&68/9132|DK9952/68|1000713||||A|||T|||||
306||&11261/71||BUSTER|DK295172|&4201/69|1001019||||A|||H|||||
306||&11816/70||JOEL'S COPPER JUNIOR|||1001399|||||||H|||||
306||&1201/72||PILFJELLETS PANTO|&68/9132|&68/9112|1001511||||A|||H|||||
306|403043|00216/69NJHR||DOLLY|&62/2497|&64/2502|1037774|HVIT/BRUN||||||T|8108809||||
306|010060|00224/01||REX|13892/95|46109/94|1038097|HVIT/BRUN||||||H|3515606|bk|06.02.2001|05.01.2001|
306|010060|00223/01||ROY|13892/95|46109/94|1038054|HVIT/BRUN|||B||X|H|2379958|ton|15.03.2002|05.01.2001|
306||&W050276309||DOLLY|&W050276312|&W050276313|1022427|||||||T|||||
306||&W050276308||TINTO|&W050276310|&W050276311|1022426|||||||H|||||
306||&W050276313||TICKI|||1022431|||||||T|||||
306||&W050276311||FIA|||1022429|||||||T|||||
306||&W011277083||TILLERUDS s|&W011277084|&W011277085|1021878|||||||H|||||
306||&W050276312||PETTER|||1022430|||||||H|||||
306|950059|00268/95||GJØKÅSENS LORD|10971/89|26122/86|1039876|RØD/HVIT|||D||M|H|3284726|TON|06.03.1996|06.01.1995|
306||&W050276310||NERO|||1022428|||||||H|||||
306|950059|00267/95|N UCH|GJØKÅSENS RICKI|10971/89|26122/86|1039835|RØD/HVIT|||A||M|H|3516253|#XU|27.11.2005|06.01.1995|
306||&9956/68||SUSSI|||1021715|||||||T|||||
306|950059|00269/95||GJØKÅSENS T.GUSTAV|10971/89|26122/86|1039917|RØD/HVIT|||||M|H|3006772|#XU|21.03.1999|06.01.1995|
306|950059|00272/95||GJØKÅSENS AREZA|10971/89|26122/86|1040039|RØD/HVIT|||D||M|T|3308783|#XU|21.03.1999|06.01.1995|
306|030151|00630/03||TIA|05900/98|20254/96|1053727|HVIT/BRUN||||||T|3563504|#XU|23.01.2005|14.01.2003|
306||&12329/72||ANDORFJELLETS LAIKA|&68/9132|&63/5230|1001700||||A||||||||
306||&13246/71||TANJA|DK205172|&68/4196|1002098||||A|||T|||||
306|400399|&12744/72|N UCH|UBARD DU MOULIN DE CALLAC|LOF56709/1994|LOF55505/3415|1001869|HVIT OG ORANGE||||||H|1716356|#XU|21.03.1999||
306||&13243/71||BRIGITTE|DK205172|&68/4196|1002097||||C|||T|||||
306||&13670/71||DAME GOYA|&5545/70|&68/8814|1002278||||C|||T|||||
306||&68/7845||SPORTY|DK295272|&63/5229|1018592|||||||H|||||
306||&59/2745|CH|TELL|||1008114|||||||H|||||
306||&68/897||AVERILLS BOUSSA|DSKHSB248782|DSKHSB295171|1018816|||||||T|||||
306||&1540/70||LISS|&67/5701|&66/4157|1002869|||||||T|||||
306||&14950/72||JANKA|DK302097|&68/4196|1002739|||||||T|||||
306|020005|00019/02||ZIKO|06055/98|16930/97|1030885|HVIT/ORANGE|||A||M|H|3537530|ton|06.11.2003|03.01.2002|
306|020005|00018/02||KINGO|06055/98|16930/97|1030855|HVIT/ORANGE|||C||M|H|3093378|bk|26.01.2004|03.01.2002|
306|020005|00022/02||NIKITA|06055/98|16930/97|1030975|HVIT/ORANGE|||||M|T|3537534|bk|10.05.2002|03.01.2002|
306|402671|00035/66NJHR||BONNI|&62/2492|&60/1813|1031375|RØD OG HVIT||||||T|8105931||||
306||&45389/1211||TR.ORSA DE CORNOUAILLE|LOF7BRET40754|LOF7BRET28834|1005738|||||||H|||||
306||&44312/1146|F U CH.|B.NARLIK DE CORNOUAILLE|LOF7BRET34187|LOF7BRET25526|1005640|||||||T|||||
306||&4481/71||PRINS|&62/627|&63/7745|1005689|||||||H|||||
306||&4964/71||BUGGI|DK295172|&4202/69|1006127||||A|||T|||||
306||&5091/70||SENTA|&67/5705|&66/3738|1006262||||A|||T|||||
306||&5179/69||BENNY|&63/7742|DK1899/68|1006325|||||||T|||||
306|010018|00078/01||TRÅSLETTEN'S FARO|11199/94|10588/99|1032578|HVIT/ORANGE|||C||M|H|3297726|ton|16.01.2002|04.01.2001|
306|010018|00082/01||TRÅSLETTEN'S FAUMA|11199/94|10588/99|1032681|HVIT/ORANGE|||C||M|T|3517498|ton|16.01.2002|04.01.2001|
306|010018|00081/01||TRÅSLETTEN'S FRIGG|11199/94|10588/99|1032655|HVIT/ORANGE|||A|||T|3517496|ton|15.05.2002|04.01.2001|
306|010018|00077/01||TRÅSLETTEN'S FAUN|11199/94|10588/99|1032551|HVIT/ORANGE|||D||M|H|3517491|ton|15.05.2002|04.01.2001|
306|010018|00079/01||TRÅSLETTEN'S FRØHYD|11199/94|10588/99|1032604|HVIT/ORANGE|||B||M|T|3592645|#XU|08.08.2004|04.01.2001|
306||&W150776026||DOLLY|||1024767|||||||T|||||
306||&W150776025||TINTO|||1024766|||||||H|||||
306||&W230677018||DOLLY|&W230677021|&W230677022|1025778|||||||T|||||
306||&W230677017||TINTO|&W230677019|&W230677020|1025777|||||||H|||||
306||&W150776029||WILKINSON'S BUDDY|||1024770|||||||H|||||
306||&W230677022||TICKI|||1025782|||||||T|||||
306||&68/9134||LISA|DK295172|&66/8550|1018844||||C|||T|||||
306||&W230677019||NERO|||1025779|||||||H|||||
306||&68/9110||TANJA|DSKHSB295172|&61/2702|1018837|||||||T|||||
306||&W150776028|CH.|EDANDOT HALO|||1024769|||||||T|||||
306||&W230677021||PETTER|||1025781|||||||H|||||
306||&68/9132||PAN I|DK295172|&66/8550|1018843|||||||H|||||
306|880075|00248/88||BONNIE|DK14291/84|08953/80|1039080|RØD/HVIT||||||T|3268124||||
306|880075|00249/88||LEXI|DK14291/84|08953/80|1039122|RØD/HVIT|||A||X|T|8109473||||
306|402929|00250/68NJHR||NØSKAMPENS TINN|&62/2492|&60/1813|1039141|HVIT/RØD||||||H|8109475||||
306|880075|00250/88||TROYA|DK14291/84|08953/80|1039164|RØD/HVIT||||||T|8109492||||
306|403134|00554/69NJHR||BOBB|&58/2199|&65/6046|1050783|HVIT/RØD||||||H|8114800||||
306|402929|00252/68NJHR||NØSKAMPENS TELL|&62/2492|&60/1813|1039223|HVIT/RØD||||||H|8109513||||
306|403134|00555/69NJHR||RAMONA|&58/2199|&65/6046|1050821|HVIT/RØD||||||T|8114817||||
306|880075|00252/88||BROCKY|DK14291/84|08953/80|1039245|RØD/HVIT||||||H|8109533||||
306||00253/68NJHR||NØSKAMPENS ANJA|&62/2492|&60/1813|1039263|||||||T|||||
306|424802|00483/78||FLORA|&3060/70|&5179/69|1048031|HVIT M RØDE FLEKKER||||||T|3308973|#XU|21.03.1999||
306|880075|00253/88||HERO|DK14291/84|08953/80|1039286|RØD/HVIT|||A||X|H|2001725||||
306|880075|00251/88||KAISA|DK14291/84|08953/80|1039205|RØD/HVIT||||||T|8109510||||
306|424802|00484/78||KING|&3060/70|&5179/69|1048069|HVIT M RØDE FLEKKER||||||H|3309701||||
306|424802|00485/78||BOY|&3060/70|&5179/69|1048106|HVIT M RØDE FLEKKER||||||H|8113571||||
306|401373|&6344/71||BUBO|DK295172|&68/897|1011609|BRUN OG HVIT|||A|||H|3108680|#XU|21.03.1999||
306||&64/2548||TOPSY|&62/2492|&60/1813|1011852|||||||T|||||
306||&64/3913||AMI|||1012020|||||||H|||||
306||&6342/71||BALTUS|||1011604||||A|||H|||||
306||&64/7437||PIA|||1012521|||||||T|||||
306||&64/6051|CH|KROKSKOGEN'S FRISK|&60/4562|&60/4193|1012336|||||||H|||||
306||&64/6046||KROKSKOGEN'S FIA|||1012335|||||||T|||||
306||&64/8815||PELLE|||1012678|||||||H|||||
306||&64/7591||CITO|||1012542|||||||T|||||
306||&6756/69||TINTO|||1017255|||||||H|||||
306||&6717/71||MAX|&67/5705|&66/3739|1017221|||||||H|||||
306||&68/10610||TASSI LUSSI|DK248782|&65/3768|1017399|||||||T|||||
306||&68/10669||ZAPP|DKHSB295172|&63/5229|1017410|||||||H|||||
306||&6739/70||TANJA|DK295172|&65/4502|1017241||||A|||T|||||
306||&68/10609|N UCH|LISSI TROYA|DK248782|&65/3768|1017398|||||||T|||||
306||&4202/69||MILESTENS TANJA|&64/6051|&62/3408|1005447|||||||T|||||
306||&4196/68||ANJA|||1005439||||A|||T|||||
306||&4210/69||MILESTENS HEIDI|&64/6051|&62/3408|1005454|||||||T|||||
306||&4201/69||MILESTENS GOYA|&64/6051|&62/3408|1005445|||||||T|||||
306|950059|00270/95||GJØKÅSENS KJEKK|10971/89|26122/86|1039958|RØD/HVIT|||C||X|H|3074321|#XU|21.03.1999|06.01.1995|
306|950059|00271/95||GJØKÅSENS PETRA|10971/89|26122/86|1039998|RØD/HVIT|||C||M|T|2380004|#XU|01.10.2000|06.01.1995|
306|020005|00021/02||MAYA|06055/98|16930/97|1030945|HVIT/SORT|||||M|T|3537533|#XU|13.03.2005|03.01.2002|
306|020005|00020/02||TIREX|06055/98|16930/97|1030916|HVIT/ORANGE|||||M|H|3454550|bk|19.07.2002|03.01.2002|
306|402671|00031/66NJHR||STELLA|&62/2492|&60/1813|1031256|RØD OG HVIT||||||T|8105884||||
306|402671|00032/66NJHR||TEIK|&62/2492|&60/1813|1031286|RØD OG HVIT||||||H|8105894||||
306|402671|00034/66NJHR||REX|&62/2492|&60/1813|1031345|RØD/HVIT||||||H|8105919||||
306|402671|00033/66NJHR||PEIK|&62/2492|&60/1813|1031315|RØD OG HVIT||||||H|8105906||||
306||&5991/71||BEAUTY|&67/4257|&10026/69|1008512|||||||T|||||
306||&59/932||AVERILL'S ROBBY|||1008430||||||||||||
306||&1695/71||MISS RITA|DK248782|&65/3768|1003115||||A|||T|||||
306||&19450/72||JANKA|DK302097|&68/4196|1003346|||||||T|||||
306||&60/1810||AVERHILL'S NERO|||1008627|||||||H|||||
306||&60/1814||ARVERILL'S BEAUTY|||1008629|||||||T|||||
306||&185/70||AVERHILL'S TRYGG|DK248782|DK295171|1003255||||A|||H|||||
306||&1543/70||LORRY|&67/5701|&66/4157|1002878||||A|||T|||||
306||&60/1813||AVERILLS TUTTA|&58/6265|&56/21|1008628|||||||T|||||
306||&60/2339||PUSSY|||1008673|||||||T|||||
306||&60/4562|CH.|ROCKY-BUSTER|||1008894|||||||H|||||
306||&244379||TOFTEBJERGS VENU LE PREMIER|||1003858|||||||H|||||
306||&259127U||PAJTERSBORG CHEIK|&244379|&236707S|1003980|||||||H|||||
306||&2505/71||MILESTEN'S SPRINT|&11816/70|&65/4505|1003915|||||||H|||||
306||&2493/72||FREIKOLLEN'S STEGG II|||1003905||||A|||H|||||
306||&2485/71||FLIPPER|DK205172|DK10146/69|1003895||||A|||H|||||
306||&56/21||RITA|||1007015|||||||T|||||
306||&55505/3415||RUMBA DE FEUNTEN|||1006921|||||||T|||||
306||&56/20|CH.|SCOOP|||1007010|||||||H|||||
306||&57/3923||AVERILL'S TELL 2|||1007397|||||||H|||||
306||&56/921||AVERILL'S PETSY|||1007152|||||||T|||||
306||&56709/1994||RAC DU MOULIN DE CALLAC|||1007211|||||||H|||||
306||&57/3924||AVERHILLS GURRE|||1007398|||||||H|||||
306|401214|&5497/69||ROY|&62/6565|&64/2548|1006737|ORANGE OG HVIT||||||H|3296093|#XU|21.03.1999||
306||&57/681||AVERHILLS BETTY|||1007471|||||||T|||||
306||&58/2198||PEIK|||1007639|||||||H|||||
306||&58/1415||AVERHILLS LITA|||1007588|||||||T|||||
306||&58/2199||TELL|&56/20|&57/681|1007640|||||||H|||||
306||&5701/69||PIPPI|||1007480|||||||T|||||
306|030151|00626/03||STEGG|05900/98|20254/96|1053570|HVIT/BRUN|||||M|H|3563499|gf|09.05.2005|14.01.2003|
306|403465|00471/71NJHR||STELLA|&67/5705|00216/69NJHR|1047578|HVIT/BRUN||||||T|8113340||||
306|403465|00473/71NJHR||TELL|&67/5705|00216/69NJHR|1047653|HVIT/BRUN||||||H|8113377||||
306|431675|00245/80||LØVSTAKKEN ANTE|14238/73|&6739/70|1038947|HVIT/BRUN||||||H|3303007|#XU|21.03.1999||
306|403465|00470/71NJHR||BRUNO|&67/5705|00216/69NJHR|1047541|HVIT/BRUN||||||H|8113319||||
306|431675|00243/80||LØVSTAKKEN TRUDE|14238/73|&6739/70|1038867|HVIT/BRUN|||C|||T|3240765|#XU|21.03.1999||
306|431675|00242/80||LØVSTAKKEN IRA|14238/73|&6739/70|1038828|HVIT/BRUN SPETTET|||C|||T|8109328||||
306|403465|00469/71NJHR||TIM|&67/5705|00216/69NJHR|1047504|HVIT/BRUN||||||H|8113298||||
306|431675|00244/80||LØVSTAKKEN TORP|14238/73|&6739/70|1038907|HVIT/BRUN||||||H|8109367||||
306|403997|00817/73NJHR||BOY|DSK295172|00253/68NJHR|1060696|RØD/HVIT||||||H|8119283||||
306|900016|00937/90||AJARO'S ARO|S44063/88|06979/82|1065033|HVIT/BRUN||||||H|8121169||||
306|900016|00938/90||AJARO'S FOX|S44063/88|06979/82|1065067|HVIT/BRUN||||||H|8121183||||
306|900016|00939/90||AJARO'S UNO|S44063/88|06979/82|1065101|SORT/HVIT|||A||X|H|2533570||||
306|900016|00936/90||AJARO'S MIKKO|S44063/88|06979/82|1064998|HVIT/BRUN|||A||X|H|2590249|#XU|21.03.1999||
306|900016|00942/90||AJARO'S KAISA|S44063/88|06979/82|1065206|HVIT/BRUN||||||T|8121248||||
306|010321|01227/01||STRÅMYRAN'S CHIPP|07069/96|01785/97|1074425|HVIT/BRUN|||||M|H|3519428|ss|20.03.2001|23.01.2001|
306|010321|01230/01||STRÅMYRAN'S SINDI|07069/96|01785/97|1074516|HVIT/BRUN||||||T|3519431|bk|13.03.2001|23.01.2001|
306|010321|01228/01||STRÅMYRAN'S ZITO|07069/96|01785/97|1074456|HVIT/BRUN||||||H|3519429|bk|13.03.2001|23.01.2001|
306|010321|01229/01||STRÅMYRAN'S LUDDE|07069/96|01785/97|1074486|HVIT/BRUN||||||H|3519430|bk|13.03.2001|23.01.2001|
306||012329/72||ANDORFJELLETS LAIKA|&68/9132|&63/5230|1074607||||||||||||
306|010321|01231/01||STRÅMYRAN'S IRA TANJA|07069/96|01785/97|1074547|HVIT/BRUN|||A||M|T|3052026|#XU|16.06.2006|23.01.2001|
306|010321|01226/01||STRÅMYRAN'S ZICO|07069/96|01785/97|1074393|HVIT/BRUN|||D||M|H|3519427|#XU|30.05.2004|23.01.2001|
306|010321|01232/01|N S UCH|STRÅMYRAN'S SORRY NO IQ|07069/96|01785/97|1074578|HVIT/BRUN|||A||M|T|3073268||11.09.2006|23.01.2001|
306|020020|00094/02||VANITY CALINE|07029/00|16657/99|1033007|HVIT/ORANGE||||||T|3537581|bk|04.01.2002|04.01.2002|
306|020020|00092/02||VANITY CHARMANT|07029/00|16657/99|1032950|HVIT/ORANGE|||||M|H|3537579|lj|18.09.2002|04.01.2002|
306|020020|00093/02||VANITY CHATTERIE|07029/00|16657/99|1032978|HVIT/ORANGE|||||M|T|3537580|bk|04.01.2002|04.01.2002|
306|010018|00076/01||TRÅSLETTEN'S FOKK|11199/94|10588/99|1032524|HVIT/ORANGE|||D||M|H|3517490|ton|15.05.2002|04.01.2001|
306|010018|00080/01||TRÅSLETTEN'S FARI|11199/94|10588/99|1032629|HVIT/ORANGE|||E||M|T|3020462|ton|15.05.2002|04.01.2001|
306|020020|00095/02||VANITY CHASSEUSE|07029/00|16657/99|1033036|HVIT/ORANGE|||A||M|T|1244714|#XU|07.09.2003|04.01.2002|
306|431649|00107/80||STILLA|&7180/71|14240/73|1033459|BRUN/HVIT||||||T|8106770||||
306|431649|00105/80||ZENTA|&7180/71|14240/73|1033379|BRUN/HVIT||||||T|2534114||||
306|431649|00106/80||BITTE|&7180/71|14240/73|1033421|BRUN/HVIT|||A|||T|2363068|#XU|05.06.2005||
306|040153|00702/04||PIA|12694/01|01439/01|1056456|HVIT/ORANGE SKIMLET|||B||M|T|3590443||22.04.2008|14.01.2004|
306|960139|00705/96||TRÅSLETTEN'S CARSK|DK18161/94|40938/91|1056598|BRUN/HVIT/SKIMLET|||A||M|H|3043914|TON|05.06.1997|12.01.1996|
306|960139|00703/96||TRÅSLETTEN'S CAOS|DK18161/94|40938/91|1056522|BRUN/HVIT|||A||X|H|1479047|TON|14.01.1997|12.01.1996|
306|960139|00702/96||TRÅSLETTEN'S CESAM|DK18161/94|40938/91|1056485|SORT/HVIT|||A||M|H|3043912|TON|07.08.1997|12.01.1996|
306|402807|00705/67NJHR||PEIK|&62/2492|&60/1813|1056571|RØD/HVIT||||||H|8117468||||
306|960139|00707/96|N UCH NMFS-03|TRÅSLETTEN'S CWITA|DK18161/94|40938/91|1056671|BRUN/HVIT|||A|||T|3592645||22.08.2007|12.01.1996|
306|960139|00706/96||TRÅSLETTEN'S CE'ZOTI'NA|DK18161/94|40938/91|1056636|SORT/HVIT/SKIMLET|||A||X|T|2551506|bk|28.07.2000|12.01.1996|
306|960139|00709/96||TRÅSLETTEN'S CIDI|DK18161/94|40938/91|1056743|BRUN/HVIT|||A||X|T|3043916|TON|14.01.1997|12.01.1996|
306|960139|00711/96||TRÅSLETTEN'S COSI|DK18161/94|40938/91|1056815|SORT/HVIT||||||T|3043918|MHA|12.01.1996|12.01.1996|
306|960139|00708/96||TRÅSLETTEN'S CARA|DK18161/94|40938/91|1056706|BRUN/HVIT/SKIMLET|||A||X|T|3043915|#XU|21.03.1999|12.01.1996|
306|960139|00710/96||TRÅSLETTEN'S CONO|DK18161/94|40938/91|1056779|SORT/HVIT/SKIMLET|||A||X|T|3043917|TON|13.11.1996|12.01.1996|
306|960139|00712/96||TRÅSLETTEN'S CARMEN|DK18161/94|40938/91|1056851|SORT/HVIT|||C||X|T|2539841|TON|13.03.1997|12.01.1996|
306|402910|00196/68NJHR||DON|&58/2199|&65/6046|1036974|HVIT/BRUN||||||H|8108434||||
306|403609|00195/72NJHR||DICK|&259127U|&248777T|1036941|HVIT/ORANGE||||||H|8108418||||
306|403134|00557/69NJHR||LISSIE|&58/2199|&65/6046|1050901|HVIT/RØD||||||T|8114857||||
306|402910|00194/68NJHR||UNA|&58/2199|&65/6046|1036901|HVIT/BRUN||||||T|8108398||||
306|402910|00195/68NJHR||LORD|&58/2199|&65/6046|1036938|HVIT/BRUN||||||H|8108415||||
306|010052|00196/01||TRÅSLETTEN'S EXTRA|S53313/97|40938/91|1036967|HVIT/ORANGE||||||T|3517500|bk|06.02.2001|05.01.2001|
306|403134|00556/69NJHR||BELLA|&58/2199|&65/6046|1050861|HVIT/RØD||||||T|8114836||||
306|910104|00577/91||FJELLVIND'S TIMMY|S40107/85|32449/86|1051699|HVIT/SORT||||||H|3289405||||
306|910104|00581/91||FJELLVIND'S LADY|S40107/85|32449/86|1051845|HVIT/KASTANJEBRUN||||||T|8370126||||
306|910104|00580/91||FJELLVIND'S PATTI|S40107/85|32449/86|1051808|HVIT/KASTANJEBRUN|||A||X|T|2590413|#XU|08.10.2000||
306|402910|00197/68NJHR||PELLE|&58/2199|&65/6046|1037011|HVIT/BRUN||||||H|8108455||||
306|040153|00698/04||BOWLER|12694/01|01439/01|1056311|HVIT/ORANGE|||A||M|H|3607225||01.07.2007|14.01.2004|
306|880151|00696/88||SCOTT|05944/79|19611/84|1056260|HVIT/BRUN||||||H|3278447||||
306|040153|00699/04||HERA|12694/01|01439/01|1056348|HVIT/ORANGE|||B||M|T|3590441|ton|13.09.2005|14.01.2004|
306|040153|00701/04||TINKA|12694/01|01439/01|1056420|HVIT/ORANGE||||||T|3590442|bk|09.03.2004|14.01.2004|
306|402807|00704/67NJHR||SONJA|&62/2492|&60/1813|1056533|RØD/HVIT||||||T|8117448||||
306|040153|00697/04||SAICO|12694/01|01439/01|1056274|HVIT/ORANGE|||A||M|H|3520348|ton|20.04.2005|14.01.2004|
306|960139|00701/96||TRÅSLETTEN'S COMAN|DK18161/94|40938/91|1056448|BRUN/HVIT/SKIMLET||||||H|3043911|#XU|21.03.1999|12.01.1996|
