RAID|KUID|HUID|Tittel|Navn|HUIDFar|HUIDMor|IDNR|FargeBeskrivelse|FargeVariant|AD|HD|Haarlag|IDMerk|Kjoenn|PEID|EndretAv|EndretDato|RegDato|Stoerrelse
306|081297|05689/08||SÆTERTUNETS TUVA|17163/04|02659/05|2105332|ORANGE/ HVIT|||||M|T|3748404|||17.06.2008|
306|081304|05694/08||VESTLØKKA'S C LIZZY|DK15398/99|04619/01|2096429|HVIT/ORANGE|||||M|T|3010972|||20.04.2008|
306|811181|05506/81||REX|09216/73|01857/77|1203295|HVIT/BRUN||||||H|8173447||||
306|811181|05507/81||CINO|09216/73|01857/77|1203327|HVIT/BRUN||||||H|8173461||||
306|811181|05508/81||MAX|09216/73|01857/77|1203359|HVIT/BRUN||||||H|8173475||||
306|811591|07360/81||ANDORFJELLETS STELLA|07507/73|&12329/72|1258999|HVIT M/BRUNE TEGN||||||T|3270594||||
306|811591|07359/81||ANDORFJELLETS TRYM|07507/73|&12329/72|1258968|HVIT M/BRUNE TEGN||||||H|3289351||||
306|811591|07361/81||ANDORFJELLETS JENNY|07507/73|&12329/72|1259031|HVIT M/BRUNE TEGN||||||T|8194270||||
306|841503|07376/84||DOLLY|11561/82|11596/82|1259518|HVIT/BRUN|||A|||T|3105809|#XU|21.03.1999||
306|811591|07358/81||ANDORFJELLETS ESCO|07507/73|&12329/72|1258938|HVIT M/BRUNE TEGN|||C|||H|3301828||||
306|841503|07377/84||TRINE|11561/82|11596/82|1259550|HVIT/BRUN|||C|||T|8194452||||
306|811591|07357/81||ANDORFJELLETS TJAPP|07507/73|&12329/72|1258909|HVIT M/BRUNE TEGN||||||H|8194223||||
306|841503|07379/84||DINO|11561/82|11596/82|1259616|HVIT/BRUN||||||H|3267698|#XU|08.09.2002||
306|841503|07378/84||SCHILA|11561/82|11596/82|1259582|HVIT/BRUN||||||T|8194464||||
306|841503|07380/84||TROLL|11561/82|11596/82|1259650|HVIT/BRUN|||A|||H|8194489||||
306|971168|05392/97||GEILANE'S F P B SANTO|10971/89|25833/90|1199782|HVIT/ORANGE||||||H|3081112|SS|02.06.1997|01.04.1997|
306|422943|07011/77||BUSTER|18454/74|04358/73|1248375|RØD/HVIT||||||H|8190260||||
306|422943|07013/77||SIRI|18454/74|04358/73|1248427|RØD/HVIT||||||T|3309688||||
306|422943|07014/77||PIA|18454/74|04358/73|1248453|RØD/HVIT||||||T|8190288||||
306|422943|07015/77||LITA|18454/74|04358/73|1248481|RØD/HVIT||||||T|3309676||||
306|961517|07026/96||TICCO|02222/89|30315/94|1248820|HVIT/SORT||||||H|3058285|#XU|21.03.1999|24.04.1996|
306|001838|07029/00|N UCH|BRUFJORDEN'S LX FREKK|LOSH827453|DK11616/95|1248881|HVIT/ORANGE|||A||M|H|2379924|sa|08.11.2005|03.05.2000|
306|422943|07016/77||MILLESTEN RUFF|18454/74|04358/73|1248511|RØD/HVIT||||||H|8190310||||
306|961517|07028/96||SJAKKI|02222/89|30315/94|1248877|HVIT/SORT||||||H|3058287|BK|04.07.1996|24.04.1996|
306|422943|07012/77||BRUNO|18454/74|04358/73|1248401|RØD/HVIT||||||H|8190270||||
306|422943|07017/77||BURRE|18454/74|04358/73|1248541|RØD/HVIT||||||H|8190319||||
